code,name,category,revenue_yoy_growth,profit_loss_yoy_growth,roe,eps,composite_score
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,Retailers,-10.104947526236884,-28.787878787878785,10.7,20.0,-5.5278478942347
3018,OLYMPIA INDUSTRIES BERHAD,"Travel, Leisure & Hospitality",2.8846153846153744,-20.370370370370377,-1.3,-0.4,-5.585726495726501
7162,ASTINO BERHAD,Building Materials,1.570048309178751,-22.093023255813947,1.2,1.4,-5.636892483990558
3336,IJM CORPORATION BERHAD,Construction,0.0,-20.811099252934895,0.7,2.12,-5.679329775880468
5300,YENHER HOLDINGS BERHAD,Agricultural Products,-9.523809523809524,-11.764705882352944,1.9,1.51,-5.7045546218487395
5239,TITIJAYA LAND BERHAD,Property,-53.379953379953385,33.33333333333333,0.2,0.15,-5.943986013986015
7090,APEX HEALTHCARE BERHAD,Pharmaceuticals,0.8924776880578023,-24.79338842975206,2.3,2.55,-6.200273222508277
7230,TOMEI CONSOLIDATED BERHAD,Retailers,5.945945945945952,-31.37254901960784,1.5,5.04,-6.319980922098566
7225,P.A. RESOURCES BERHAD,Metals,23.415765069551785,-47.12643678160919,1.4,0.3,-6.773201513617223
5142,WASCO BERHAD,"Energy, Infrastructure, Equipment & Services",-18.867202449292,-8.75912408759124,3.1,3.23,-7.0218979610649725
7031,AMTEL HOLDINGS BERHAD,Telecommunications Equipment,-4.210526315789476,-21.42857142857143,1.5,1.18,-7.155729323308272
4707,NESTLE (MALAYSIA) BERHAD,Food & Beverages,-22.22222222222222,-36.12565445026177,14.9,36.42,-7.240363001745196
7034,THONG GUAN INDUSTRIES BERHAD,Packaging Materials,3.749212350346576,-31.506849315068497,1.6,3.75,-7.257291089416576
5168,HARTALEGA HOLDINGS BERHAD,Health Care Equipment & Services,44.23800044238,-68.95306859205776,0.2,0.25,-7.324520444903328
1694,MENANG CORPORATION (M) BERHAD,Property,-2.392344497607657,-23.076923076923073,0.9,0.59,-7.342780272359219
5622,PIMPINAN EHSAN BERHAD,Construction,0.0,-25.0,0.2,0.2,-7.42
8966,TECHBASE INDUSTRIES BERHAD,Personal Goods,-4.336734693877553,-17.3469387755102,-2.6,-2.69,-7.563102040816325
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,Food & Beverages,-3.3434650455927084,-31.782945736434108,1.9,12.81,-7.595923234608043
5110,UOA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,-2.777777777777779,-24.460431654676263,1.1,1.55,-7.641462829736213
7054,ASTRAL ASIA BERHAD,Plantation,25.581395348837212,-51.0,-0.4,-0.09,-7.723581395348836
5274,HONG LEONG CAPITAL BERHAD,Other Financials,-4.306722689075626,-27.312775330396477,1.7,6.99,-7.747849405841631
5079,ONE GLOVE GROUP BERHAD,"Travel, Leisure & Hospitality",-10.86956521739132,-10.476190476190473,-7.1,-1.78,-8.179726708074538
5270,RED SENA BERHAD,Special Purpose Acquisition Company,0.0,-10.526315789473696,-24.7,-0.42,-8.181894736842109
3816,MISC BERHAD,Transportation & Logistics Services,-11.764705882352944,-21.259293680297397,1.0,7.6,-8.187199868795103
4944,NYLEX (MALAYSIA) BERHAD,Chemicals,0.0,-25.86666666666666,-2.6,-0.26,-8.331999999999997
0056,NCT ALLIANCE BERHAD,Property,6.619385342789608,-35.64356435643564,0.9,0.41,-8.445253704093808
5037,COMPUGATES HOLDINGS BERHAD,Industrial Services,8.163265306122458,-35.71428571428572,-1.0,-0.03,-8.47130612244898
4677,YTL CORPORATION BERHAD,"Gas, Water & Multi-Utilities",4.0000000000000036,-36.036036036036045,2.1,3.03,-8.584810810810811
5121,HEKTAR REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,7.194244604316546,-36.76470588235294,0.6,0.61,-8.62913838341092
5009,WHITE HORSE BERHAD,Building Materials,-3.546099290780147,-24.13793103448276,-0.6,-1.64,-8.753209097578871
2305,AYER HOLDINGS BERHAD,Property,-24.04371584699454,-14.912280701754389,1.6,12.89,-8.788798964624679
8443,HIL INDUSTRIES BERHAD,Chemicals,-22.619047619047617,-10.185185185185189,2.1,2.91,-8.839269841269841
5219,PESTECH INTERNATIONAL BERHAD,Industrial Engineering,37.52834467120181,-39.19597989949749,-36.9,-4.92,-8.864290568488702
2143,ECM LIBRA FINANCIAL GROUP BERHAD,Other Financials,20.833333333333325,-51.10526315789474,0.5,0.19,-8.943578947368424
7113,TOP GLOVE CORPORATION BHD,Health Care Equipment & Services,79.51367781155014,-109.53206239168112,0.1,0.07,-8.971515374039292
8362,KYM HOLDINGS BERHAD,Packaging Materials,-20.542635658914733,-9.85507246376811,0.3,0.2,-9.019312436804853
5592,GRAND CENTRAL ENTERPRISES BHD,"Travel, Leisure & Hospitality",23.8805970149254,-53.6,-0.4,-0.35,-9.06582089552238
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Transportation Equipment,86.23376623376625,-108.77192982456138,-10.1,-2.12,-9.205449077238537
6483,KENANGA INVESTMENT BANK BERHAD,Other Financials,4.688211197086933,-38.13559322033898,1.4,2.01,-9.352214606975615
0201,NOVA WELLNESS GROUP BERHAD,Pharmaceuticals,1.923076923076916,-34.61538461538461,1.5,0.54,-9.399692307692307
5289,TECHBOND GROUP BERHAD,Chemicals,0.0,-32.25806451612904,1.0,0.33,-9.411419354838712
7240,INFRAHARTA HOLDINGS BERHAD,Construction,-22.60869565217391,-7.710843373493981,-1.6,-0.18,-9.451861707700367
5195,CENSOF HOLDINGS BERHAD,Software,10.27667984189724,-42.85714285714286,1.1,0.21,-9.512138904573685
5147,SAMCHEM HOLDINGS BERHAD,Chemicals,-0.9922480620154994,-32.94117647058824,2.0,1.04,-9.57202735978112
9296,RCE CAPITAL BERHAD,Other Financials,-8.42824601366743,-27.225130890052352,3.3,1.9,-9.656013071115932
5260,ONLY WORLD GROUP HOLDINGS BERHAD,"Travel, Leisure & Hospitality",14.754098360655732,-47.38461538461538,0.3,0.15,-9.699155107187893
0097,VITROX CORPORATION BERHAD,Semiconductors,-2.200000000000002,-32.43243243243242,2.2,1.19,-9.711729729729727
9539,MULTI-USAGE HOLDINGS BERHAD,Property,-7.9999999999999964,-26.01476014760148,0.5,0.71,-9.962428044280443
6742,YTL POWER INTERNATIONAL BHD,"Gas, Water & Multi-Utilities",5.555555555555558,-44.498171954239886,2.5,5.74,-10.034784919605299
8672,KAMDAR GROUP (M) BERHAD,Retailers,-18.965517241379317,-12.12121212121211,-1.7,-1.85,-10.036018808777426
9822,SAM ENGINEERING & EQUIPMENT (M) BERHAD,"Industrial Materials, Components & Equipment",-13.625758282781153,-23.61963190184049,1.9,3.68,-10.05761705538649
7018,CME GROUP BERHAD,Industrial Services,39.2156862745098,-71.63333333333333,-1.8,-0.08,-10.101294117647058
1147,GLOBAL ORIENTAL BERHAD,Property,43.42105263157894,-76.92307692307692,-0.7,-0.39,-10.268607287449395
7201,PROGRESSIVE IMPACT CORPORATION BERHAD,Industrial Services,0.8547008547008517,-33.33333333333333,-3.6,-0.25,-10.513589743589744
7152,JAYCORP BERHAD,Houshold Goods,6.858407079646023,-43.47826086956522,1.3,0.96,-10.533956136975759
6211,KIA LIM BERHAD,Building Materials,-1.7543859649122862,-37.5,2.8,2.5,-10.716315789473684
5120,AMFIRST REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,1.167315175097272,-37.5,0.3,0.36,-10.767805447470819
4316,SIN HENG CHAN (MALAYA) BERHAD,Plantation,6.140350877192979,-43.24324324324324,0.8,0.72,-10.826867709815078
5129,MELATI EHSAN HOLDINGS BERHAD,Construction,-7.14285714285714,-29.299363057324847,0.0,0.1,-10.912666060054596
7060,NEW HOONG FATT HOLDINGS BERHAD,Automotive,2.6874115983026803,-42.10526315789473,1.0,3.31,-10.963355467877616
8745,S & F CAPITAL BERHAD,Wood & Wood Products,-17.36842105263158,-19.63190184049079,0.6,0.07,-10.966096867936711
5125,PANTECH GROUP HOLDINGS BERHAD,Metals,-6.62962962962963,-33.225806451612904,2.3,2.49,-10.998630824372759
5315,SKYWORLD DEVELOPMENT BERHAD,Property,-16.18341200269724,-24.083769633507856,1.7,1.45,-11.450154490861529
5202,MSM MALAYSIA HOLDINGS BERHAD,Food & Beverages,6.78071154084543,-37.95013850415512,-3.5,-7.08,-11.466828088992907
0008,WILLOWGLEN MSC BERHAD,Software,-0.974658869395717,-38.46153846153846,1.3,0.5,-11.470859199280254
5031,TIME DOTCOM BERHAD,Telecommunications Service Providers,2.9919727560204334,-44.9343339587242,1.6,3.18,-11.62670836081113
5140,TASCO BERHAD,Transportation & Logistics Services,8.077485380116967,-48.73417721518988,1.3,1.02,-11.733007550521874
5048,YB VENTURES BERHAD,Building Materials,10.365853658536594,-46.55172413793104,-2.3,-2.13,-11.741761143818335
1562,SPORTS TOTO BERHAD,"Travel, Leisure & Hospitality",-12.5,-31.3953488372093,4.0,3.06,-11.756604651162789
7986,CN ASIA CORPORATION BHD,"Industrial Materials, Components & Equipment",12.5,-52.398523985239855,0.4,0.05,-11.879557195571955
4758,ANCOM NYLEX BERHAD,Chemicals,-10.787806809184486,-31.221719457013577,2.2,1.26,-11.91085787985942
